generation,r_total
0,47.0
1,47.0
2,46.0
3,47.0
4,47.0
5,48.0
6,47.0
7,47.0
8,46.0
9,48.0
10,47.0
11,46.0
12,47.0
13,47.0
14,49.0
15,47.0
16,47.0
17,47.0
18,46.0
19,47.0
20,47.0
21,47.0
22,47.0
23,46.0
24,46.0
25,47.0
26,49.0
27,46.0
28,48.0
29,47.0
30,49.0
31,47.0
32,48.0
33,48.0
34,46.0
35,48.0
36,49.0
37,64.0
38,77.0
39,100.0
40,107.0
41,106.0
42,131.0
43,126.0
44,139.0
45,140.0
46,172.0
47,148.0
48,144.0
49,148.0
50,132.0
51,149.0
52,119.0
53,139.0
54,151.0
55,158.0
56,181.0
57,167.0
58,160.0
59,152.0
60,155.0
61,158.0
62,193.0
63,159.0
64,161.0
65,171.0
66,177.0
67,158.0
68,165.0
69,188.0
70,177.0
71,201.0
72,190.0
73,210.0
74,150.0
75,180.0
76,176.0
77,203.0
78,187.0
79,194.0
80,214.0
81,172.0
82,207.0
83,191.0
84,213.0
85,193.0
86,178.0
87,199.0
88,208.0
89,190.0
90,195.0
91,192.0
92,208.0
93,191.0
94,197.0
95,187.0
96,210.0
97,179.0
98,200.0
99,193.0
100,165.0
101,201.0
102,184.0
103,204.0
104,211.0
105,217.0
106,181.0
107,199.0
108,174.0
109,184.0
110,174.0
111,224.0
112,199.0
113,203.0
114,246.0
115,186.0
116,191.0
117,198.0
118,204.0
119,222.0
120,222.0
121,220.0
122,196.0
123,193.0
124,186.0
125,163.0
126,192.0
127,229.0
128,226.0
129,205.0
130,208.0
131,199.0
132,253.0
133,210.0
134,209.0
135,179.0
136,204.0
137,190.0
138,191.0
139,217.0
140,234.0
141,214.0
142,195.0
143,194.0
144,207.0
145,201.0
146,215.0
147,207.0
148,206.0
149,187.0
150,230.0
151,194.0
152,209.0
153,241.0
154,212.0
155,175.0
156,229.0
157,220.0
158,215.0
159,291.0
160,184.0
161,217.0
162,235.0
163,210.0
164,243.0
165,222.0
166,207.0
167,177.0
168,235.0
169,250.0
170,251.0
171,261.0
172,192.0
173,239.0
174,234.0
175,242.0
176,224.0
177,249.0
178,251.0
179,276.0
180,246.0
181,239.0
182,295.0
183,276.0
184,256.0
185,271.0
186,246.0
187,250.0
188,211.0
189,253.0
190,197.0
191,227.0
192,233.0
193,247.0
194,274.0
195,272.0
196,326.0
197,245.0
198,227.0
199,250.0
200,248.0
201,217.0
202,324.0
203,256.0
204,239.0
205,281.0
206,256.0
207,223.0
208,292.0
209,240.0
210,292.0
211,249.0
212,257.0
213,310.0
214,250.0
215,230.0
216,236.0
217,279.0
218,272.0
219,252.0
220,259.0
221,273.0
222,243.0
223,221.0
224,215.0
225,292.0
226,240.0
227,248.0
228,221.0
229,286.0
230,259.0
231,273.0
232,266.0
233,275.0
234,294.0
235,225.0
236,256.0
237,243.0
238,288.0
239,256.0
240,332.0
241,265.0
242,287.0
243,276.0
244,233.0
245,359.0
246,323.0
247,346.0
248,327.0
249,300.0
250,305.0
251,267.0
252,299.0
253,338.0
254,311.0
255,256.0
256,322.0
257,305.0
258,260.0
259,292.0
260,309.0
261,291.0
262,246.0
263,382.0
264,272.0
265,311.0
266,316.0
267,256.0
268,301.0
269,314.0
270,259.0
271,260.0
272,248.0
273,279.0
274,321.0
275,334.0
276,313.0
277,260.0
278,250.0
279,251.0
280,363.0
281,303.0
282,350.0
283,298.0
284,296.0
285,283.0
286,372.0
287,286.0
288,383.0
289,345.0
290,375.0
291,331.0
292,347.0
293,278.0
294,317.0
295,331.0
296,335.0
297,381.0
298,293.0
299,339.0
300,317.0
301,331.0
302,400.0
303,305.0
304,299.0
305,284.0
306,301.0
307,297.0
308,281.0
309,338.0
310,389.0
311,278.0
312,331.0
313,298.0
314,285.0
315,355.0
316,290.0
317,283.0
318,398.0
319,254.0
320,268.0
321,323.0
322,297.0
323,307.0
324,323.0
325,339.0
326,372.0
327,326.0
328,278.0
329,302.0
330,284.0
331,305.0
332,379.0
333,272.0
334,325.0
335,383.0
336,305.0
337,330.0
338,302.0
339,277.0
340,260.0
341,315.0
342,325.0
343,295.0
344,284.0
345,269.0
346,344.0
347,374.0
348,320.0
349,286.0
350,298.0
351,352.0
352,328.0
353,314.0
354,302.0
355,473.0
356,349.0
357,335.0
358,275.0
359,288.0
360,392.0
361,313.0
362,309.0
363,332.0
364,358.0
365,282.0
366,327.0
367,290.0
368,350.0
369,312.0
370,322.0
371,366.0
372,429.0
373,264.0
374,298.0
375,362.0
376,318.0
377,379.0
378,437.0
379,378.0
380,316.0
381,398.0
382,316.0
383,334.0
384,322.0
385,297.0
386,296.0
387,357.0
388,321.0
389,333.0
390,285.0
391,308.0
392,374.0
393,313.0
394,321.0
395,325.0
396,343.0
397,299.0
398,350.0
399,313.0
400,301.0
401,374.0
402,319.0
403,316.0
404,300.0
405,316.0
406,299.0
407,467.0
408,278.0
409,366.0
410,282.0
411,302.0
412,290.0
413,348.0
414,427.0
415,412.0
416,323.0
417,309.0
418,486.0
419,282.0
420,459.0
421,378.0
422,373.0
423,354.0
424,374.0
425,351.0
426,299.0
427,345.0
428,354.0
429,340.0
430,347.0
431,349.0
432,295.0
433,347.0
434,320.0
435,263.0
436,333.0
437,434.0
438,446.0
439,312.0
440,466.0
441,360.0
442,328.0
443,301.0
444,382.0
445,274.0
446,278.0
447,291.0
448,303.0
449,305.0
450,323.0
451,276.0
452,295.0
453,312.0
454,337.0
455,354.0
456,321.0
457,342.0
458,285.0
459,356.0
460,373.0
461,285.0
462,295.0
463,343.0
464,380.0
465,452.0
466,334.0
467,349.0
468,297.0
469,319.0
470,275.0
471,391.0
472,358.0
473,322.0
474,341.0
475,318.0
476,369.0
477,350.0
478,361.0
479,365.0
480,358.0
481,397.0
482,279.0
483,275.0
484,385.0
485,350.0
486,336.0
487,379.0
488,309.0
489,254.0
490,311.0
491,326.0
492,324.0
493,392.0
494,311.0
495,278.0
496,251.0
497,263.0
498,381.0
499,322.0
500,394.0
501,344.0
502,318.0
503,305.0
504,373.0
505,330.0
506,322.0
507,301.0
508,323.0
509,256.0
510,388.0
511,301.0
512,335.0
513,310.0
514,397.0
515,392.0
516,338.0
517,315.0
518,346.0
519,299.0
520,313.0
521,352.0
522,354.0
523,411.0
524,427.0
525,390.0
526,311.0
527,345.0
528,330.0
529,305.0
530,265.0
531,313.0
532,253.0
533,401.0
534,428.0
535,312.0
536,287.0
537,328.0
538,313.0
539,402.0
540,294.0
541,264.0
542,266.0
543,314.0
544,308.0
545,472.0
546,325.0
547,318.0
548,325.0
549,311.0
550,307.0
551,303.0
552,290.0
553,260.0
554,399.0
555,384.0
556,348.0
557,332.0
558,365.0
559,341.0
560,297.0
561,317.0
562,318.0
563,310.0
564,316.0
565,307.0
566,280.0
567,358.0
568,301.0
569,293.0
570,345.0
571,267.0
572,337.0
573,303.0
574,293.0
575,331.0
576,293.0
577,355.0
578,370.0
579,303.0
580,319.0
581,351.0
582,325.0
583,354.0
584,356.0
585,438.0
586,318.0
587,345.0
588,292.0
589,349.0
590,309.0
591,342.0
592,337.0
593,385.0
594,395.0
595,370.0
596,343.0
597,349.0
598,371.0
599,332.0
600,445.0
601,346.0
602,237.0
603,294.0
604,397.0
605,370.0
606,353.0
607,386.0
608,347.0
609,325.0
610,388.0
611,340.0
