generation,r_total
0,138.0
1,154.0
2,172.0
3,211.0
4,371.0
5,468.0
6,362.0
7,434.0
8,527.0
9,464.0
10,463.0
11,704.0
12,454.0
13,433.0
14,547.0
15,569.0
16,499.0
17,428.0
18,489.0
19,462.0
20,510.0
21,590.0
22,580.0
23,639.0
24,656.0
25,682.0
26,604.0
27,735.0
28,538.0
29,667.0
30,691.0
31,557.0
32,625.0
33,591.0
34,591.0
35,669.0
36,472.0
37,483.0
38,566.0
39,626.0
40,790.0
41,673.0
42,583.0
43,790.0
44,725.0
45,726.0
46,687.0
47,717.0
48,729.0
49,733.0
50,701.0
51,738.0
52,898.0
53,848.0
54,707.0
55,707.0
56,586.0
57,607.0
58,723.0
59,692.0
60,576.0
61,704.0
62,557.0
63,1000.0
